,Input sentence,isComparative,subject,object,aspect,predicate,label
377,alt: Google Pixel 6 chụp ngược sáng đẹp hơn iPhone 13 Pro,0,[],[],[],[],[]
378,des:,0,[],[],[],[],[]
379,alt: Google Pixel 6 chụp ngược sáng đẹp hơn iPhone 13 Pro,0,[],[],[],[],[]
380,des:,0,[],[],[],[],[]
381,"Khi chụp ngược sáng hay trong môi trường phức tạp, iPhone 13 Pro có xu hướng giữ nguyên các mảng tối trong khung hình còn Google Pixel 6 Pro lại cố gắng làm sáng những khu vực này.",0,[],[],[],[],[]
382,alt: Google Pixel 6 chụp chân dung tệ hơn iPhone 13 Pro,0,[],[],[],[],[]
383,des:,0,[],[],[],[],[]
384,"Về khả năng chụp chân dung, có lẽ mỗi chiếc điện thoại sẽ có một ưu điểm riêng biệt.",0,[],[],[],[],[]
385,Tuy nhiên mình sẽ đánh giá cao iPhone 13 hơn một chút vì nó có thể giữ được độ trung thực tốt hơn so với đối thủ,1,"['8&&iPhone', '9&&13']","['26&&đối', '27&&thủ']",[],"['10&&hơn', '11&&một', '12&&chút']",COM+
386,Tuy nhiên mình sẽ đánh giá cao iPhone 13 hơn một chút vì nó có thể giữ được độ trung thực tốt hơn so với đối thủ,1,['14&&nó'],"['26&&đối', '27&&thủ']","['19&&độ', '20&&trung', '21&&thực']","['22&&tốt', '23&&hơn']",COM+
387,alt: Google Pixel 6 chụp đêm đẹp hơn iPhone 13 Pro,0,[],[],[],[],[]
388,des:,0,[],[],[],[],[]
389,"iPhone 13 Pro cũng cho thấy khả năng chụp đêm của mình là tốt hơn so với Google Pixel 6 Pro bởi những mảng tối được giữ nguyên, thể hiện cảnh vật trong bóng đêm tốt hơn",1,"['1&&iPhone', '2&&13', '3&&Pro']","['18&&Google', '19&&Pixel', '20&&6', '21&&Pro']","['7&&khả', '8&&năng', '9&&chụp', '10&&đêm']","['14&&tốt', '15&&hơn']",COM+
390,"iPhone 13 Pro cũng cho thấy khả năng chụp đêm của mình là tốt hơn so với Google Pixel 6 Pro bởi những mảng tối được giữ nguyên, thể hiện cảnh vật trong bóng đêm tốt hơn",1,"['1&&iPhone', '2&&13', '3&&Pro']","['18&&Google', '19&&Pixel', '20&&6', '21&&Pro']","['30&&thể', '31&&hiện', '32&&cảnh', '33&&vật', '34&&trong', '35&&bóng', '36&&đêm']","['37&&tốt', '38&&hơn']",COM+
391,alt: Google Pixel 6 quay phim kém hơn iPhone 13 Pro,0,[],[],[],[],[]
392,des:,0,[],[],[],[],[]
393,Về khả năng quay phim thì hai chiếc máy đều sấp sỉ nhau.,1,"['7&&hai', '8&&chiếc', '9&&máy']","['7&&hai', '8&&chiếc', '9&&máy']","['2&&khả', '3&&năng', '4&&quay', '5&&phim']","['11&&sấp', '12&&sỉ', '13&&nhau']",EQL
394,Tuy nhiên thời gian quay tối đa của iPhone 13 pro sẽ nhỉnh hơn một chút so với Pixel 6 Pro nhưng khoảng cách là không quá xa.,1,"['9&&iPhone', '10&&13', '11&&pro']","['19&&Pixel', '20&&6', '21&&Pro']","['3&&thời', '4&&gian', '5&&quay', '6&&tối', '7&&đa']","['13&&nhỉnh', '14&&hơn', '15&&một', '16&&chút']",COM+
395,Với những bức ảnh trên của The Verge.,0,[],[],[],[],[]
396,Bạn thấy chiếc smartphone nào chụp ảnh tốt hơn?,0,[],[],[],[],[]
397,Google Pixel 6 Pro hay iPhone 13 Pro?,0,[],[],[],[],[]
398,Bình luận chia sẻ ở phần commnet các bạn nhé!,0,[],[],[],[],[]
399,Title: Nên mua iPhone nào tốt nhất 2022: Đâu là sự lựa chọn phù hợp?,0,[],[],[],[],[]
400,Dòng iPhone 12 vừa được Apple cho ra mắt vào giữa tháng 10 năm 2020 vừa qua.,0,[],[],[],[],[]
401,"Không lâu trước, Nhà Táo cũng vừa ra mắt dòng điện thoại iPhone 11 và iPhone X.",0,[],[],[],[],[]
402,Vậy điểm khác biệt của những dòng iPhone này là gì.,0,[],[],[],[],[]
403,Hãy cùng DIGIPHONE so sánh các dòng iPhone mới nhất hiện nay của Nhà Táo nhé.,0,[],[],[],[],[]
404,alt: so-sanh-cac-dong-iphone,0,[],[],[],[],[]
405,des: So sánh các dòng iPhone từ trước đến nay,0,[],[],[],[],[]
406,So sánh về kích thước,0,[],[],[],[],[]
407,Cả 2 dòng điện thoại iPhone này đều được xem là bước đột phá của Apple khi cho ra mắt dòng điện thoại mới này.,0,[],[],[],[],[]
408,"Về kích thước, dòng điện thoại này có kích thước tương đối giống nhau.",1,"['5&&dòng', '6&&điện', '7&&thoại', '8&&này']","['5&&dòng', '6&&điện', '7&&thoại', '8&&này']","['2&&kích', '3&&thước']","['12&&tương', '13&&đối', '14&&giống', '15&&nhau']",EQL
409,"Tuy nhiên, iPhone 11 Pro và iPhone 11 Pro Max sẽ có kích thước lớn hơn so với các dòng điện thoại khác.",1,"['4&&iPhone', '5&&11', '6&&Pro']","['20&&các', '21&&dòng', '22&&điện', '23&&thoại', '24&&khác']","['14&&kích', '15&&thước']","['16&&lớn', '17&&hơn']",COM+
410,"Tuy nhiên, iPhone 11 Pro và iPhone 11 Pro Max sẽ có kích thước lớn hơn so với các dòng điện thoại khác.",1,"['8&&iPhone', '9&&11', '10&&Pro', '11&&Max']","['20&&các', '21&&dòng', '22&&điện', '23&&thoại', '24&&khác']","['14&&kích', '15&&thước']","['16&&lớn', '17&&hơn']",COM+
411,alt: nen-mua-dien-thoai-iphone-nao,0,[],[],[],[],[]
412,des:,0,[],[],[],[],[]
413,alt: so-sanh-pin-cua-cac-dong-iphone,0,[],[],[],[],[]
414,des: Kích thước của 2 iPhone,0,[],[],[],[],[]
415,So sánh về cân nặng,0,[],[],[],[],[]
416,"Về cân nặng, iPhone 11 và Xr sẽ cùng trọng lượng với nhau.",1,"['5&&iPhone', '6&&11']",['8&&Xr'],"['2&&cân', '3&&nặng']","['10&&cùng', '11&&trọng', '12&&lượng', '13&&với', '14&&nhau']",EQL
417,"Tuy nhiên, trọng lượng iPhone 11 Pro sẽ nặng hơn Xs và iPhone 11 Pro Max sẽ có trọng lượng nặng nhất.",1,"['14&&iPhone', '15&&11', '16&&Pro', '17&&Max']",[],"['20&&trọng', '21&&lượng']","['22&&nặng', '23&&nhất']",SUP+
418,"Tuy nhiên, trọng lượng iPhone 11 Pro sẽ nặng hơn Xs và iPhone 11 Pro Max sẽ có trọng lượng nặng nhất.",1,"['6&&iPhone', '7&&11', '8&&Pro']",['12&&Xs'],"['4&&trọng', '5&&lượng']","['10&&nặng', '11&&hơn']",COM+
419,alt: iphone-nen-mua-loai-nao(1),0,[],[],[],[],[]
420,des:,0,[],[],[],[],[]
421,alt: dong-iphone-nao-ben-nhat(1),0,[],[],[],[],[]
422,des: Cân nặng của 2 dòng điện thoại,0,[],[],[],[],[]
423,So sánh về màu sắc,0,[],[],[],[],[]
424,Đa số các dòng điện thoại đều có những màu sắc đơn giản thì iPhone 11 được trang bị 6 phiên bản màu cho người mua có thể lựa chọn.,0,[],[],[],[],[]
425,"Nếu so sánh màu sắc với iPhone Xs Max thì dòng này chỉ có 3 phiên bản màu: đen, bạc và vàng.",0,[],[],[],[],[]
426,alt: nen-mua-iphone-nao,0,[],[],[],[],[]
427,des:,0,[],[],[],[],[]
428,alt: so-sanh-cac-dong-dien-thoai-iphone,0,[],[],[],[],[]
429,des: Màu sắc rực rỡ của 2 dòng điện thoại,0,[],[],[],[],[]
430,So sánh về cấu tạo,0,[],[],[],[],[]
431,"Chỉ có 2 chiếc điện thoại iPhone 11 và Xr được trang bị khung nhôm, thì các điện thoại còn lại đều được làm bằng khung thép không gỉ và cả 2 dòng điện thoại đều được trang bị mặt kính ở 2 mặt trước, sau.",1,"['18&&các', '19&&điện', '20&&thoại', '21&&còn', '22&&lại']","['18&&các', '19&&điện', '20&&thoại', '21&&còn', '22&&lại']","['27&&khung', '28&&thép', '29&&không', '30&&gỉ']","['23&&đều', '24&&được', '25&&làm', '26&&bằng']",EQL
432,"Chỉ có 2 chiếc điện thoại iPhone 11 và Xr được trang bị khung nhôm, thì các điện thoại còn lại đều được làm bằng khung thép không gỉ và cả 2 dòng điện thoại đều được trang bị mặt kính ở 2 mặt trước, sau.",1,"['32&&cả', '33&&2', '34&&dòng', '35&&điện', '36&&thoại']","['32&&cả', '33&&2', '34&&dòng', '35&&điện', '36&&thoại']","['41&&mặt', '42&&kính', '43&&ở', '44&&2', '45&&mặt', '46&&trước', '47&&,', '48&&sau']","['37&&đều', '38&&được', '39&&trang', '40&&bị']",EQL
433,alt: iphone-nao-tot-nhat(1),0,[],[],[],[],[]
434,des:,0,[],[],[],[],[]
435,alt: so-sanh-thong-so-cac-dong-iphone,0,[],[],[],[],[]
436,des: Cấu tạo của 2 dòng điện thoại iPhone,0,[],[],[],[],[]
437,Không thấm nước,0,[],[],[],[],[]
438,"Về khả năng thấm nước, Apple đã nâng cấp cho dòng điện thoại của mình.",0,[],[],[],[],[]
439,"iPhone 11, XS và XS Max có thể chìm xuống 2m (6,6 ft) trong tối đa 30 phút, trong khi 11 Pro và Pro Max có thể tồn tại đến độ sâu 4 m (13,1 ft).",0,[],[],[],[],[]
440,alt: bang-so-sanh-cac-dong-iphone,0,[],[],[],[],[]
441,des: Khả năng chống nước được tối ưu hóa,0,[],[],[],[],[]
442,Kích thước hiển thị,0,[],[],[],[],[]
443,Không có sự thay đổi lớn về kích thước hiển thị màn hình của 2 dòng điện thoại này.,1,"['15&&2', '16&&dòng', '17&&điện', '18&&thoại', '19&&này']","['15&&2', '16&&dòng', '17&&điện', '18&&thoại', '19&&này']","['8&&kích', '9&&thước', '10&&hiển', '11&&thị', '12&&màn', '13&&hình']","['1&&Không', '2&&có', '3&&sự', '4&&thay', '5&&đổi', '6&&lớn']",EQL
444,"Về chất lượng hiển thị, so sánh iPhone XS và iPhone 11 thì iPhone XS có phần trội hơn.",1,"['15&&iPhone', '16&&XS']","['9&&iPhone', '10&&XS']","['2&&chất', '3&&lượng', '4&&hiển', '5&&thị']","['17&&có', '18&&phần', '19&&trội', '20&&hơn']",COM+
445,"Về chất lượng hiển thị, so sánh iPhone XS và iPhone 11 thì iPhone XS có phần trội hơn.",1,"['15&&iPhone', '16&&XS']","['12&&iPhone', '13&&11']","['2&&chất', '3&&lượng', '4&&hiển', '5&&thị']","['17&&có', '18&&phần', '19&&trội', '20&&hơn']",COM+
446,"Trong khi iPhone 11 được trang bị màn hình hình LCD Liquid Retina thì iPhone XS sở hữu tấm nền OLED Super Retina với khả năng hiển thị tốt, cực kỳ sắc nét .",0,[],[],[],[],[]
447,alt: so-sanh-iphone,0,[],[],[],[],[]
448,des:,0,[],[],[],[],[]
449,alt: so-sanh-cac-loai-iphone,0,[],[],[],[],[]
450,des: Kích thước hiển thị của dòng điện thoại,0,[],[],[],[],[]
451,Tỷ lệ màn hình so với thân,0,[],[],[],[],[]
452,"Tỷ lệ màn hình so với thân không có gì khác biệt lắm, chỉ có các điện thoại có viền lớn hơn trong năm nay.",1,"['17&&các', '18&&điện', '19&&thoại']",[],['21&&viền'],"['22&&lớn', '23&&hơn']",COM+
453,alt: so-sanh-tat-ca-cac-dong-iphone,0,[],[],[],[],[]
454,des:,0,[],[],[],[],[]
455,alt: bang-so-sanh-cac-dong-iphone(1),0,[],[],[],[],[]
456,des: Tỷ lệ màn hình cân đối,0,[],[],[],[],[]
457,Độ phân giải của màn hình,0,[],[],[],[],[]
458,"Độ phân giải được Apple tăng lên tới 1.200 nits với độ tương phản lên đến 2 triệu, điều đó có nghĩa là gấp đôi so với dòng iPhone X.",1,[],"['29&&dòng', '30&&iPhone', '31&&X']","['1&&Độ', '2&&phân', '3&&giải']","['25&&gấp', '26&&đôi']",COM+
459,"Độ phân giải được Apple tăng lên tới 1.200 nits với độ tương phản lên đến 2 triệu, điều đó có nghĩa là gấp đôi so với dòng iPhone X.",1,[],"['29&&dòng', '30&&iPhone', '31&&X']","['12&&độ', '13&&tương', '14&&phản']","['25&&gấp', '26&&đôi']",COM+
460,alt: iphone-nao-tot-nhat-hien-nay(1),0,[],[],[],[],[]
461,des:,0,[],[],[],[],[]
462,alt: iphone-doi-moi-nhat,0,[],[],[],[],[]
463,des: Độ phân giải màn hình được nâng cấp tối ưu,0,[],[],[],[],[]
464,Kiểu hiển thị,0,[],[],[],[],[]
465,"iPhone 11 được giữ lại màn hình LCD của Xr, trong khi đó, 11 Pro Max và 11 Pro được gắn với màn hình OLED của Xs và Xs Max.",0,[],[],[],[],[]
466,alt: so-sanh-cac-doi-iphone(1),0,[],[],[],[],[]
467,des:,0,[],[],[],[],[]
468,alt: nen-mua-iphone-gi,0,[],[],[],[],[]
469,des: Kiểu hiển thị của 2 dòng điện thoại,0,[],[],[],[],[]
470,Sinh trắc học,0,[],[],[],[],[]
471,"Không có sự thay đổi về sinh trắc học, cả 2 dòng điện thoại này đều được trang bị sinh trắc học Face ID đến từ Nhà Táo.",1,"['11&&cả', '12&&2', '13&&dòng', '14&&điện', '15&&thoại', '16&&này']","['11&&cả', '12&&2', '13&&dòng', '14&&điện', '15&&thoại', '16&&này']","['7&&sinh', '8&&trắc', '9&&học']","['1&&Không', '2&&có', '3&&sự', '4&&thay', '5&&đổi']",EQL
472,"Không có sự thay đổi về sinh trắc học, cả 2 dòng điện thoại này đều được trang bị sinh trắc học Face ID đến từ Nhà Táo.",1,"['11&&cả', '12&&2', '13&&dòng', '14&&điện', '15&&thoại', '16&&này']","['11&&cả', '12&&2', '13&&dòng', '14&&điện', '15&&thoại', '16&&này']","['21&&sinh', '22&&trắc', '23&&học', '24&&Face', '25&&ID', '26&&đến', '27&&từ', '28&&Nhà', '29&&Táo']","['17&&đều', '18&&được', '19&&trang', '20&&bị']",EQL
473,alt: so-sanh-cac-dong-iphone(1),0,[],[],[],[],[]
474,des:,0,[],[],[],[],[]
475,alt: cac-dong-iphone-moi-nhat(1),0,[],[],[],[],[]
476,des: Sinh trắc học Face ID tiện lợi,0,[],[],[],[],[]
477,Bộ xử lý,0,[],[],[],[],[]
478,Nếu như dòng iPhone X được trang bị bộ xử lý A12 Bionic thì cả 3 điện thoại của dòng iPhone 11 đều được nâng cấp với chip xử lý A13 Bionic.,1,"['15&&cả', '16&&3', '17&&điện', '18&&thoại', '19&&của', '20&&dòng', '21&&iPhone', '22&&11']","['15&&cả', '16&&3', '17&&điện', '18&&thoại', '19&&của', '20&&dòng', '21&&iPhone', '22&&11']",[],"['23&&đều', '24&&được', '25&&nâng', '26&&cấp', '27&&với', '28&&chip', '29&&xử', '30&&lý', '31&&A13', '32&&Bionic']",EQL
479,"Điển hình như cấu hình giữa iPhone XS Max và 11 Pro, trong khi iPhone 11 Pro sở hữu chip A13 Bionic có GPU nhanh hơn 30% so với iPhone XS Max trang bị chip A12 Bionic.",1,"['21&&chip', '22&&A13', '23&&Bionic']","['36&&chip', '37&&A12', '38&&Bionic']",['25&&GPU'],"['26&&nhanh', '27&&hơn', '28&&30%']",COM+
480,alt: ip-moi-nhat-hien-nay(1),0,[],[],[],[],[]
481,des:,0,[],[],[],[],[]
482,alt: iphone-nao-tot,0,[],[],[],[],[]
483,des: Bộ xử lý được nâng cấp,0,[],[],[],[],[]
484,RAM,0,[],[],[],[],[]
485,"RAM cũng có sự thay đổi đáng kể, đối với những dòng điện thoại 11 Pro và 11 Pro Max lên đến 6GB.",1,"['12&&những', '13&&dòng', '14&&điện', '15&&thoại', '16&&11', '17&&Pro', '18&&và', '19&&11', '20&&Pro', '21&&Max']",[],['1&&RAM'],"['4&&sự', '5&&thay', '6&&đổi', '7&&đáng', '8&&kể']",DIF
486,alt: so-sanh-giua-cac-dong-iphone,0,[],[],[],[],[]
487,des:,0,[],[],[],[],[]
488,alt: iphone-nao-tot(1),0,[],[],[],[],[]
489,des: Bộ nhớ RAM được nâng cấp đáng kể,0,[],[],[],[],[]
490,Lưu trữ,0,[],[],[],[],[]
491,"Kho lưu trữ của iPhone chưa bao giờ làm cho người dùng thất vọng và đặc biệt ở những đời sau, kho lưu trữ này lại được nâng cấp nhiều hơn nữa.",1,"['19&&những', '20&&đời', '21&&sau']",[],"['23&&kho', '24&&lưu', '25&&trữ', '26&&này']","['29&&nâng', '30&&cấp', '31&&nhiều', '32&&hơn', '33&&nữa']",COM+
492,alt: iphone-nao-tot-nhat-hien-nay,0,[],[],[],[],[]
493,des:,0,[],[],[],[],[]
494,alt: so-sanh-cac-dong-iphone-moi-nhat,0,[],[],[],[],[]
495,des: Kho lưu trữ được nâng cấp,0,[],[],[],[],[]
496,Pin,0,[],[],[],[],[]
497,So sánh về pin 2 dòng iPhone 11 và iPhone X thì dòng iPhone 11 đều đã được nâng cấp chất lượng pin hơn so với dòng iPhone X.,1,"['14&&iPhone', '15&&11']","['27&&dòng', '28&&iPhone', '29&&X']","['21&&chất', '22&&lượng', '23&&pin']","['19&&nâng', '20&&cấp', '21&&chất', '22&&lượng', '23&&pin', '24&&hơn']",COM+
498,alt: iphone-doi-moi-nhat(1),0,[],[],[],[],[]
499,des:,0,[],[],[],[],[]
500,alt: so-sanh-cac-doi-iphone,0,[],[],[],[],[]
501,des: Pin được nâng cấp đáng kể,0,[],[],[],[],[]
502,Sạc nhanh,0,[],[],[],[],[]
503,Đa số các dòng điện thoại đều được trang bị chức năng sạc nhanh.,1,"['1&&Đa', '2&&số', '3&&các', '4&&dòng', '5&&điện', '6&&thoại']","['1&&Đa', '2&&số', '3&&các', '4&&dòng', '5&&điện', '6&&thoại']","['13&&sạc', '14&&nhanh']","['7&&đều', '8&&được', '9&&trang', '10&&bị']",EQL
504,"Tuy nhiên, để có thể sạc nhanh bạn cần có bộ chuyển đổi nguồn USB - C 18W và bộ chuyển đổi này chỉ đi kèm khi mua dòng 11 Pro và 11 Pro Max",0,[],[],[],[],[]
505,alt: review-cac-dong-iphone,0,[],[],[],[],[]
506,des: Cả 2 dòng điện thoại đều được trang bị chức năng sạc nhanh,1,"['3&&Cả', '4&&2', '5&&dòng', '6&&điện', '7&&thoại']","['3&&Cả', '4&&2', '5&&dòng', '6&&điện', '7&&thoại']","['14&&sạc', '15&&nhanh']","['8&&đều', '9&&được', '10&&trang', '11&&bị']",EQL
507,Sạc không dây,0,[],[],[],[],[]
508,Không chỉ là 2 dòng điện thoại này nói riêng mà tất cả các dòng điện thoại về sau của Apple đều được trang bị sạc không dây.,1,"['12&&tất', '13&&cả', '14&&các', '15&&dòng', '16&&điện', '17&&thoại', '18&&về', '19&&sau', '20&&của', '21&&Apple']","['12&&tất', '13&&cả', '14&&các', '15&&dòng', '16&&điện', '17&&thoại', '18&&về', '19&&sau', '20&&của', '21&&Apple']","['26&&sạc', '27&&không', '28&&dây']","['22&&đều', '23&&được', '24&&trang', '25&&bị']",EQL
509,"Tuy nhiên, bộ sạc này cũng phải mua riêng và không đi kèm khi mua điện thoại.",0,[],[],[],[],[]
510,alt: so-sanh-cac-doi-iphone,0,[],[],[],[],[]
511,des: Sạc không dây được trang bị đầy đủ ở các dòng điện thoại,0,[],[],[],[],[]
512,Cổng kết nối,0,[],[],[],[],[]
513,Dòng điện thoại iPhone X và iPhone 11 đều trang bị cổng kết nối Lightning dùng để sạc pin và kết nối tai nghe.,1,"['4&&iPhone', '5&&X']","['7&&iPhone', '8&&11']","['12&&cổng', '13&&kết', '14&&nối', '15&&Lightning', '16&&dùng', '17&&để', '18&&sạc', '19&&pin']","['9&&đều', '10&&trang', '11&&bị']",EQL
514,Dòng điện thoại iPhone X và iPhone 11 đều trang bị cổng kết nối Lightning dùng để sạc pin và kết nối tai nghe.,1,"['4&&iPhone', '5&&X']","['7&&iPhone', '8&&11']","['21&&kết', '22&&nối', '23&&tai', '24&&nghe']","['9&&đều', '10&&trang', '11&&bị']",EQL
515,alt: dong-iphone-nao-ben-nhat,0,[],[],[],[],[]
516,des: Cổng kết nối Lightning,0,[],[],[],[],[]
517,Camera trước,0,[],[],[],[],[]
518,"Camera được tăng số megapixel trên camera selfie lên đến 12MP, khẩu độ vẫn được giữ nguyên và sẽ có tầm nhìn rộng hơn",1,['1&&Camera'],[],"['13&&khẩu', '14&&độ']","['16&&được', '17&&giữ', '18&&nguyên']",EQL
519,"Camera được tăng số megapixel trên camera selfie lên đến 12MP, khẩu độ vẫn được giữ nguyên và sẽ có tầm nhìn rộng hơn",1,['1&&Camera'],[],"['22&&tầm', '23&&nhìn']","['24&&rộng', '25&&hơn']",COM+
520,alt: nen-mua-ip-nao-thoi-diem-nay,0,[],[],[],[],[]
521,des: Camera trước được nâng cấp,0,[],[],[],[],[]
522,Camera sau,0,[],[],[],[],[]
523,Camera sau chính là điểm khác biệt nổi bật nhất.,0,[],[],[],[],[]
524,iPhone X được trang bị bộ đôi camera kép còn dòng iPhone 11 từ đời Pro trở lên sẽ được trang bị bộ ba camera hiện đại nhất,0,[],[],[],[],[]
525,alt: cac-dong-iphone-moi-nhat,0,[],[],[],[],[]
526,des: Camera sau hiện đại của iPhone,0,[],[],[],[],[]
527,Video/ ảnh,0,[],[],[],[],[]
528,"Với các chế độ chính là Chế độ ban đêm, tất cả iPhone đều có thể chụp ảnh với dải động cao và quay video lên đến 4K và tốc độ 60 khung hình trên mỗi giây",0,[],[],[],[],[]
529,alt: iphone-nen-mua-loai-nao,0,[],[],[],[],[]
530,des: Ảnh và video được tối ưu hóa rõ hơn và sắc nét hơn,0,[],[],[],[],[]
531,Hệ điều hành,0,[],[],[],[],[]
532,"Như mọi khi, với mỗi dòng điện thoại được ra mắt, đều sẽ có hệ điều riêng được nâng cấp phù hợp với điện thoại mới.",0,[],[],[],[],[]
533,"Tại thời điểm ra mắt, iPhone X có hệ điều hành IOS 12 và iPhone 11 có hệ điều hành IOS 13.",0,[],[],[],[],[]
534,alt: nen-mua-iphone-may,0,[],[],[],[],[]
535,des: Hệ điều hành mới dành cho mỗi dòng điện thoại mới được ra mắt,0,[],[],[],[],[]
536,Trợ lý ảo,0,[],[],[],[],[]
537,"Dù bất cứ dòng điện thoại nào, trợ lý ảo Siri luôn được trang bị trên các dòng điện thoại.",0,[],[],[],[],[]
538,alt: so-sanh-cac-dong-may-iphone,0,[],[],[],[],[]
539,des: Trợ lý ảo Siri luôn có mặt trên bất cứ dòng điện thoại nào,0,[],[],[],[],[]
540,Ngày cho ra mắt,0,[],[],[],[],[]
541,"iPhone 11, 11 Pro và 11 Pro Max được ra mắt vào ngày 20 tháng 9 năm 2019.",0,[],[],[],[],[]
542,iPhone Xr được ra mắt sau dòng Xs và Xs Max 1 tháng sau ra mắt.,0,[],[],[],[],[]
543,alt: ip-moi-nhat-hien-nay,0,[],[],[],[],[]
544,des: Ngày ra mắt dòng điện thoại iPhone 11,0,[],[],[],[],[]
545,Giá bán,0,[],[],[],[],[]
546,"Tại thời điểm ra mắt, iPhone 11 có giá khởi điểm 699 USD cho phiên bản 64GB và Xr có giá là 599 USD ở thời điểm ra mắt.",0,[],[],[],[],[]
547,alt: iphone-nao-tot-nhat,0,[],[],[],[],[]
548,des: Giá thành hợp lý cho dòng điện thoại cao cấp,0,[],[],[],[],[]
549,"Nhìn chung, các dòng điện thoại của thương hiệu Apple đều được người mua ưa chuộng.",0,[],[],[],[],[]
550,"Với những thông tin so sánh các dòng iPhone ở trên, DIGIPHONE hi vọng rằng có thể giúp bạn đọc phần nào thông tin để có thể lựa chọn chiếc điện thoại phù hợp cho bản thân.",0,[],[],[],[],[]
551,title: So sánh Galaxy S22 Ultra 5G vs Z Fold 3: Nội đấu giữa hai sản phẩm đầu bảng của Samsung,0,[],[],[],[],[]
552,Galaxy S22 Ultra 5G là chiếc điện thoại dòng S cao cấp nhất của Samsung sẽ như thế nào khi so sánh với Galaxy Fold 3,1,"['1&&Galaxy', '2&&S22', '3&&Ultra', '4&&5G']",[],[],"['11&&cao', '12&&cấp', '13&&nhất', '14&&của', '15&&Samsung']",SUP+
553,Cùng là smartphone cao cấp của Samsung nhưng mỗi mẫu điện thoại lại được xây dựng theo 2 hướng khác nhau.,0,[],[],[],[],[]
554,Bài so sánh Galaxy S22 Ultra 5G và mẫu điện thoại gập cao cấp Galaxy Fold 3 sẽ giúp bạn tìm được tình yêu thật sự của mình.,0,[],[],[],[],[]
555,"Về cơ bản, Samsung Galaxy S22 Ultra 5G phù hợp với đại đa số thói quen sử dụng của người dùng hơn.",0,[],[],[],[],[]
556,Thiết kế phẳng mới mẽ và kế thừa nhiều công nghệ mới của năm 2022.,0,[],[],[],[],[]
557,"Còn Galaxy Fold lại sở hữu thiết kế độc lạ, màn hình lớn và mọi thông số đều rất ổn.",0,[],[],[],[],[]
558,Thiết kế đặc trưng cho từng dòng máy,0,[],[],[],[],[]
559,"Khi đánh giá Samsung Galaxy S22 Ultra 5G và Galaxy Z Fold 3, đa số người dùng vẫn thích chiếc điện thoại dòng S. Nguyên nhân là kiểu máy truyền thông dễ sử dụng, quen thuộc, lần này Samsung khá chút ý đến các đường nét, rất sang trọng.",0,[],[],[],[],[]
560,"Ở một bên khác, Z Fold 3 thiết về sự mới lạ, có khả năng mở gập như một cuốn sách.",1,"['6&&Z', '7&&Fold', '8&&3']","['21&&một', '22&&cuốn', '23&&sách']","['16&&khả', '17&&năng', '18&&mở', '19&&gập']",['20&&như'],EQL
561,"Khi đưa vào sử dụng, chiếc điện thoại gập cung cấp nhiều chức năng thực dụng hơn.",1,"['7&&chiếc', '8&&điện', '9&&thoại', '10&&gập']",[],"['14&&chức', '15&&năng', '16&&thực', '17&&dụng']","['13&&nhiều', '14&&chức', '15&&năng', '16&&thực', '17&&dụng', '18&&hơn']",COM+
562,alt: Thiết kế Galaxy S22 Ultra và Galaxy Z Fold 3 có nét đặc biệt riêng,0,[],[],[],[],[]
563,des:,0,[],[],[],[],[]
564,Màn hình tương đương,1,[],[],"['1&&Màn', '2&&hình']","['3&&tương', '4&&đương']",EQL
565,"Chắc rằng, S22 Ultra 5G là một trong những chiếc điện thoại có màn hình tốt nhất hiện nay.",1,"['4&&S22', '5&&Ultra', '6&&5G']",[],"['15&&màn', '16&&hình']","['17&&tốt', '18&&nhất', '19&&hiện', '20&&nay']",SUP+
566,Tấm nền Dynamic AMOLED 2X 6.8 inch với độ phân giải QHD+.,0,[],[],[],[],[]
567,"Dĩ nhiên, nó sẽ kế thừa công nghệ tự động làm mới màn hình từ 10Hz-120Hz.",0,[],[],[],[],[]
568,Độ sáng tối đa của máy tốt hơn nhiều so với Galaxy Fold 3 với 1800 nits.,1,['6&&máy'],"['12&&Galaxy', '13&&Fold', '14&&3']","['1&&Độ', '2&&sáng', '3&&tối', '4&&đa']","['7&&tốt', '8&&hơn', '9&&nhiều']",COM+
569,Samsung Z Fold 3 có lợi thế về kích thước màn hình với kích thước 7.6inch + 6.2inch.,1,"['1&&Samsung', '2&&Z', '3&&Fold', '4&&3']",[],"['9&&kích', '10&&thước', '11&&màn', '12&&hình']","['5&&có', '6&&lợi', '7&&thế']",COM+
570,Nhưng tốc độ làm mới màn hình phải điều chỉnh thủ công.,0,[],[],[],[],[]
571,Hiệu năng chênh lệch,0,[],[],[],[],[]
572,"Được lợi thế của người đi sau, Galaxy S22 Ultra 5G được trang bị Snapdragon 8 Gen 1 hoặc Exynos 2200.",0,[],[],[],[],[]
573,Cách biệt một thế hệ so với Snapdragon 888 hoặc Exynos 2100 trên Galaxy Fold 3.,0,[],[],[],[],[]
574,"Rõ ràng, sẽ có một khoảng cách về tốc độ xử lý, khả năng đồ họa và khả năng tiết kiệm năng lượng giữa bộ đôi điện thoại.",1,"['27&&bộ', '28&&đôi', '29&&điện', '30&&thoại']","['27&&bộ', '28&&đôi', '29&&điện', '30&&thoại']","['10&&tốc', '11&&độ', '12&&xử', '13&&lý']","['5&&có', '6&&một', '7&&khoảng', '8&&cách']",DIF
